x: 0.00, dy: 3.06
x: 0.31, dy: 0.94
x: 0.63, dy: -2.44
x: 0.94, dy: -2.44
x: 1.26, dy: 0.94
x: 1.57, dy: 3.06
x: 1.88, dy: 0.94
x: 2.20, dy: -2.44
x: 2.51, dy: -2.44
x: 2.83, dy: 0.94
x: 3.14, dy: 3.02
x: 3.46, dy: 0.94
x: 3.77, dy: -2.48
x: 4.08, dy: -2.44
x: 4.40, dy: 0.94
x: 4.71, dy: 3.02
x: 5.03, dy: 0.94
x: 5.34, dy: -2.48
x: 5.65, dy: -2.44
x: 5.97, dy: 0.94
x: 6.28, dy: 3.02
x: 6.60, dy: 0.94
x: 6.91, dy: -2.44
x: 7.23, dy: -2.44
x: 7.54, dy: 0.95
x: 7.85, dy: 3.02
x: 8.17, dy: 0.94
x: 8.48, dy: -2.44
x: 8.80, dy: -2.44
x: 9.11, dy: 0.95
x: 9.42, dy: 3.02
x: 9.74, dy: 0.94
x: 10.05, dy: -2.44
x: 10.37, dy: -2.44
x: 10.68, dy: 0.94
x: 11.00, dy: 3.02
x: 11.31, dy: 0.95
x: 11.62, dy: -2.44
x: 11.94, dy: -2.44
x: 12.25, dy: 0.94
x: 12.57, dy: 3.02
x: 12.88, dy: 0.95
x: 13.19, dy: -2.44
x: 13.51, dy: -2.44
x: 13.82, dy: 0.94
x: 14.14, dy: 3.02
x: 14.45, dy: 0.94
x: 14.77, dy: -2.44
x: 15.08, dy: -2.48
x: 15.39, dy: 0.94
x: 15.71, dy: 3.02
x: 16.02, dy: 0.94
x: 16.34, dy: -2.44
x: 16.65, dy: -2.48
x: 16.96, dy: 0.94
x: 17.28, dy: 3.02
x: 17.59, dy: 0.94
x: 17.91, dy: -2.44
x: 18.22, dy: -2.44
x: 18.54, dy: 0.94
x: 18.85, dy: 3.06
x: 19.16, dy: 0.94
x: 19.48, dy: -2.44
x: 19.79, dy: -2.44
x: 20.11, dy: 0.94
x: 20.42, dy: 3.06
x: 20.73, dy: 0.94
x: 21.05, dy: -2.44
x: 21.36, dy: -2.44
x: 21.68, dy: 0.94
x: 21.99, dy: 3.02
x: 22.31, dy: 0.94
x: 22.62, dy: -2.48
x: 22.93, dy: -2.44
x: 23.25, dy: 0.94
x: 23.56, dy: 3.02
x: 23.88, dy: 0.94
x: 24.19, dy: -2.48
x: 24.50, dy: -2.44
x: 24.82, dy: 0.94
x: 25.13, dy: 3.06
