x: 0.00, y: 0.00
x: 0.31, y: 0.95
x: 0.63, y: 0.59
x: 0.94, y: -0.59
x: 1.26, y: -0.95
x: 1.57, y: -0.00
x: 1.88, y: 0.95
x: 2.20, y: 0.59
x: 2.51, y: -0.59
x: 2.83, y: -0.95
x: 3.14, y: -0.00
x: 3.46, y: 0.95
x: 3.77, y: 0.59
x: 4.08, y: -0.59
x: 4.40, y: -0.95
x: 4.71, y: -0.00
x: 5.03, y: 0.95
x: 5.34, y: 0.59
x: 5.65, y: -0.59
x: 5.97, y: -0.95
x: 6.28, y: -0.00
x: 6.60, y: 0.95
x: 6.91, y: 0.59
x: 7.23, y: -0.59
x: 7.54, y: -0.95
x: 7.85, y: -0.00
x: 8.17, y: 0.95
x: 8.48, y: 0.59
x: 8.80, y: -0.59
x: 9.11, y: -0.95
x: 9.42, y: -0.00
x: 9.74, y: 0.95
x: 10.05, y: 0.59
x: 10.37, y: -0.59
x: 10.68, y: -0.95
x: 11.00, y: -0.00
x: 11.31, y: 0.95
x: 11.62, y: 0.59
x: 11.94, y: -0.59
x: 12.25, y: -0.95
x: 12.57, y: -0.00
x: 12.88, y: 0.95
x: 13.19, y: 0.59
x: 13.51, y: -0.59
x: 13.82, y: -0.95
x: 14.14, y: -0.00
x: 14.45, y: 0.95
x: 14.77, y: 0.59
x: 15.08, y: -0.59
x: 15.39, y: -0.95
x: 15.71, y: -0.00
x: 16.02, y: 0.95
x: 16.34, y: 0.59
x: 16.65, y: -0.59
x: 16.96, y: -0.95
x: 17.28, y: -0.00
x: 17.59, y: 0.95
x: 17.91, y: 0.59
x: 18.22, y: -0.59
x: 18.54, y: -0.95
x: 18.85, y: -0.00
x: 19.16, y: 0.95
x: 19.48, y: 0.59
x: 19.79, y: -0.59
x: 20.11, y: -0.95
x: 20.42, y: -0.00
x: 20.73, y: 0.95
x: 21.05, y: 0.59
x: 21.36, y: -0.59
x: 21.68, y: -0.95
x: 21.99, y: -0.00
x: 22.31, y: 0.95
x: 22.62, y: 0.59
x: 22.93, y: -0.59
x: 23.25, y: -0.95
x: 23.56, y: -0.00
x: 23.88, y: 0.95
x: 24.19, y: 0.59
x: 24.50, y: -0.59
x: 24.82, y: -0.95
x: 25.13, y: -0.00
